__index,__address,m_eAmmoCategory,m_eTagger,m_eWeaponProjectile,m_eWeaponType,m_fBurstInterval,m_fCrouchSpeed,m_fEquipTime,m_fFireInterval,m_fHardDamageModifier,m_fHealthDamage,m_fHolsterTime,m_fJumpZ,m_fRagdollImpulseScale,m_fReloadEndAnimDuration,m_fReloadTime,m_fResupplyDelaySecs,m_fRunSpeed,m_fSoftDamageModifier,m_fSprintSpeed,m_fStaminaDamage,m_fTaggerDuration,m_fUIHardDamageLevel,m_fUIRangeLevel,m_fUIRateOfFire,m_fUISoftDamageLevel,m_fUIStunDamageLevel,m_fWalkSpeed,m_fWindUpTime,m_nAmmoPoolCapacity,m_nBurstShots,m_nImpulseStrength,m_nMagazineCapacity,m_nMagazineWarningAmount,m_nResupplyUnits,m_eClass,m_eEncumbrance,m_eHUDReticule,m_eHUDReticuleMarksmanship,m_eNPCFiredEvent,m_eNPCHitEvent,m_eWeaponFiringState,m_bAlwaysPlayReloadEndAnim,m_bCanSprint,m_bDisallowSwitchInRefireTimer,m_bEquipInVehicle,m_bForceRagdollDeath,m_bHasReloadEndAnimation,m_bIsResuppliable,m_bLessLethal,m_bLoopedReload,m_bWitnessing
0,0x108C0000,0,0,0,0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,690.0,0.0,0.0,0.0,0.0,412.5,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,0,0,0,0,0,0,0,0,2,2,6,7,0,0,0,0,0,0,0,0,0,0,0
1,0x108C0094,16,0,0,1,0.0,90.0,0.800000011920929,0.10000000149011612,0.12999999523162842,135.0,0.0,690.0,1.0,0.0,2.0,1.0,412.5,1.0,600.0,20.0,0.0,1.7000000476837158,4.789999961853027,7.159999847412109,3.0,1.7400000095367432,275.0,0.0,150,1,20,30,6,32,2,0,1,1,6,7,2,0,1,0,1,1,0,1,0,0,0
2,0x108C0128,16,0,0,2,0.0,90.0,0.800000011920929,0.10000000149011612,0.12999999523162842,135.0,0.0,690.0,1.0,0.0,2.0,1.0,412.5,1.0,600.0,20.0,0.0,1.7000000476837158,4.789999961853027,7.159999847412109,3.0,1.7400000095367432,275.0,0.0,150,1,20,30,6,32,2,0,1,1,6,7,2,0,1,0,1,1,0,1,0,0,0
3,0x108C01BC,16,0,0,3,0.0,90.0,0.800000011920929,0.10000000149011612,0.12999999523162842,135.0,0.0,690.0,1.0,0.0,2.0,1.0,412.5,1.0,600.0,20.0,0.0,1.7000000476837158,4.789999961853027,7.159999847412109,3.0,1.7400000095367432,275.0,0.0,150,1,20,30,6,32,2,0,1,1,6,7,2,0,1,0,1,1,0,1,0,0,0
4,0x108C0250,16,0,0,4,0.0,90.0,0.800000011920929,0.10000000149011612,0.12999999523162842,135.0,0.0,690.0,1.0,0.0,2.0,1.0,412.5,1.0,600.0,20.0,0.0,1.7000000476837158,4.789999961853027,7.159999847412109,3.0,1.7400000095367432,275.0,0.0,150,1,20,30,6,32,2,0,1,1,6,7,2,0,1,0,1,1,0,1,0,0,0
5,0x108C02E4,16,0,0,5,0.0,90.0,0.800000011920929,0.14000000059604645,0.10000000149011612,190.0,0.0,690.0,1.0,0.0,2.4000000953674316,1.0,412.5,1.0,600.0,20.0,0.0,1.7400000095367432,4.789999961853027,6.059999942779541,3.299999952316284,1.7400000095367432,175.0,0.0,128,1,20,32,8,32,2,0,1,1,6,7,2,0,1,0,1,1,0,1,0,0,0
6,0x108C0378,16,0,0,6,0.0,90.0,0.800000011920929,0.14000000059604645,0.10000000149011612,190.0,0.0,690.0,1.0,0.0,2.4000000953674316,1.0,412.5,1.0,600.0,20.0,0.0,1.7400000095367432,4.789999961853027,6.059999942779541,3.299999952316284,1.7400000095367432,175.0,0.0,128,1,20,32,8,32,2,0,1,1,6,7,2,0,1,0,1,1,0,1,0,0,0
7,0x108C040C,16,0,0,7,0.0,90.0,0.800000011920929,0.14000000059604645,0.10000000149011612,190.0,0.0,690.0,1.0,0.0,2.4000000953674316,1.0,412.5,1.0,600.0,20.0,0.0,1.7400000095367432,4.789999961853027,6.059999942779541,3.299999952316284,1.7400000095367432,175.0,0.0,128,1,20,32,8,32,2,0,1,1,6,7,2,0,1,0,1,1,0,1,0,0,0
8,0x108C04A0,16,0,0,8,0.0,90.0,0.800000011920929,0.14000000059604645,0.10000000149011612,190.0,0.0,690.0,1.0,0.0,2.4000000953674316,1.0,412.5,1.0,600.0,20.0,0.0,1.7400000095367432,4.789999961853027,6.059999942779541,3.299999952316284,1.7400000095367432,175.0,0.0,128,1,20,32,8,32,2,0,1,1,6,7,2,0,1,0,1,1,0,1,0,0,0
9,0x108C0534,16,0,0,9,0.0,90.0,0.800000011920929,0.15000000596046448,0.10999999940395355,175.0,0.0,690.0,1.0,0.0,2.799999952316284,1.0,412.5,1.0,600.0,20.0,0.0,1.7400000095367432,4.789999961853027,5.880000114440918,3.1600000858306885,1.7400000095367432,175.0,0.0,128,1,30,32,6,32,2,0,1,1,6,7,2,0,1,0,1,1,0,1,0,0,0
10,0x108C05C8,16,0,0,10,0.0,90.0,0.800000011920929,0.30000001192092896,0.10999999940395355,200.0,0.0,690.0,1.0,0.0,2.799999952316284,1.0,412.5,1.0,600.0,2.0,0.0,1.8200000524520874,7.949999809265137,4.599999904632568,3.4000000953674316,1.409999966621399,275.0,0.0,120,1,30,24,6,24,2,0,1,1,6,7,2,0,1,0,1,1,0,1,0,0,0
11,0x108C065C,1,0,7,11,0.0,90.0,1.2999999523162842,1.75,0.0,50.0,0.0,690.0,1.899999976158142,0.0,3.5999999046325684,1.0,412.5,1.0,600.0,90.0,0.0,10.0,7.320000171661377,3.5399999618530273,10.0,10.0,139.0,0.0,12,1,50,4,1,6,0,0,0,0,6,7,1,0,1,0,1,1,0,1,1,0,0
12,0x108C06F0,20,0,7,12,0.0,90.0,1.2999999523162842,0.05000000074505806,0.0,50.0,0.0,690.0,1.899999976158142,0.0,3.5999999046325684,1.0,412.5,1.0,600.0,90.0,0.0,10.0,7.320000171661377,3.5399999618530273,10.0,10.0,139.0,1.0,24,1,50,6,1,6,0,0,6,6,6,7,1,0,1,0,1,1,0,1,1,0,0
13,0x108C0784,17,0,4,13,0.0,90.0,0.699999988079071,2.0,0.0,200.0,0.0,345.0,2.5,0.0,2.25,1.25,90.0,1.0,139.0,100.0,0.0,10.0,10.0,3.509999990463257,10.0,6.929999828338623,75.0,1.75,3,1,200,1,0,1,1,0,0,0,6,7,1,0,1,0,0,1,0,1,1,0,0
14,0x108C0818,6,0,8,14,0.0,90.0,0.699999988079071,0.699999988079071,0.6299999952316284,1100.0,0.0,690.0,1.7000000476837158,0.0,0.699999988079071,1.0,412.5,1.0,600.0,400.0,0.0,10.0,2.9000000953674316,3.869999885559082,10.0,10.0,139.0,0.0,1,1,220,1,0,1,0,0,2,2,6,7,4,0,1,0,0,1,0,1,1,0,0
15,0x108C08AC,8,0,1,15,0.0,90.0,0.699999988079071,0.699999988079071,0.0,900.0,0.0,690.0,1.7000000476837158,0.0,0.699999988079071,1.0,412.5,1.0,600.0,400.0,0.0,10.0,2.9000000953674316,3.869999885559082,8.729999542236328,8.319999694824219,139.0,0.0,1,1,220,1,0,1,0,0,2,2,6,7,4,0,1,0,0,1,0,1,1,0,0
16,0x108C0940,11,0,3,16,0.0,90.0,0.699999988079071,0.699999988079071,0.0,120.0,0.0,690.0,1.0,0.0,0.699999988079071,1.0,412.5,1.0,600.0,180.0,0.0,4.449999809265137,2.9000000953674316,3.869999885559082,3.880000114440918,10.0,139.0,0.0,1,0,120,1,0,1,0,0,2,2,6,7,4,0,1,0,0,1,0,1,1,0,0
17,0x108C09D4,9,0,9,17,0.0,90.0,0.699999988079071,0.699999988079071,0.0,0.0,0.0,690.0,1.7000000476837158,0.0,0.699999988079071,1.0,412.5,1.0,600.0,0.0,0.0,10.0,4.789999961853027,3.869999885559082,7.03000020980835,8.140000343322754,139.0,0.0,2,1,220,1,0,1,0,0,2,2,6,7,4,0,1,0,0,1,0,1,1,0,0
18,0x108C0A68,10,0,5,18,0.0,90.0,0.699999988079071,0.699999988079071,0.0,220.0,0.0,690.0,2.0,0.0,0.699999988079071,1.0,412.5,1.0,600.0,100.0,0.0,8.470000267028809,2.9000000953674316,3.869999885559082,5.340000152587891,7.860000133514404,139.0,0.0,1,0,220,1,0,1,0,0,2,2,6,7,4,0,1,0,0,1,0,1,1,0,0
19,0x108C0AFC,5,0,14,19,0.0,90.0,0.699999988079071,0.699999988079071,0.0,1000.0,0.0,690.0,1.7000000476837158,0.0,0.699999988079071,1.0,412.5,1.0,600.0,0.0,0.0,8.619999885559082,3.859999895095825,1.9800000190734863,5.480000019073486,9.119999885559082,139.0,0.0,2,1,220,1,0,1,0,0,2,2,6,7,4,0,1,0,0,1,0,1,1,0,0
20,0x108C0B90,7,0,17,20,0.0,90.0,0.699999988079071,0.699999988079071,0.0,1000.0,0.0,690.0,1.7000000476837158,0.0,0.699999988079071,1.0,412.5,1.0,600.0,0.0,0.0,8.619999885559082,3.859999895095825,1.9800000190734863,5.480000019073486,9.119999885559082,139.0,0.0,2,1,220,1,0,1,0,0,2,2,6,7,4,0,1,0,0,1,0,1,1,0,0
21,0x108C0C24,7,0,21,21,0.0,90.0,0.699999988079071,0.699999988079071,0.0,1000.0,0.0,690.0,1.7000000476837158,0.0,0.699999988079071,1.0,412.5,1.0,600.0,0.0,0.0,8.619999885559082,3.859999895095825,1.9800000190734863,5.480000019073486,9.119999885559082,139.0,0.0,2,1,220,1,0,1,0,0,2,2,6,7,4,0,1,0,0,1,0,1,1,0,0
22,0x108C0CB8,7,0,20,22,0.0,90.0,0.699999988079071,0.699999988079071,0.0,1000.0,0.0,690.0,1.7000000476837158,0.0,0.699999988079071,1.0,412.5,1.0,600.0,0.0,0.0,8.619999885559082,3.859999895095825,1.9800000190734863,5.480000019073486,9.119999885559082,139.0,0.0,2,1,220,1,0,1,0,0,2,2,6,7,4,0,1,0,0,1,0,1,1,0,0
23,0x108C0D4C,20,0,17,23,0.0,90.0,0.699999988079071,0.699999988079071,0.0,1000.0,0.0,690.0,1.7000000476837158,0.0,0.699999988079071,1.0,412.5,1.0,600.0,0.0,0.0,8.619999885559082,3.859999895095825,1.9800000190734863,5.480000019073486,9.119999885559082,139.0,0.0,6,1,220,1,0,1,0,0,6,6,6,7,4,0,1,0,0,1,0,1,1,0,0
24,0x108C0DE0,15,0,0,24,0.0,90.0,1.0,0.18000000715255737,0.33000001311302185,225.0,0.0,690.0,1.100000023841858,0.0,3.5999999046325684,1.0,350.0,1.0,475.0,20.0,0.0,2.8399999141693115,7.320000171661377,5.449999809265137,3.640000104904175,1.7400000095367432,90.0,0.0,225,1,20,75,15,75,2,0,1,1,6,7,2,0,1,0,0,1,0,1,0,0,0
25,0x108C0E74,15,0,0,25,0.0,90.0,1.0,0.1550000011920929,0.1550000011920929,190.0,0.0,690.0,2.0,0.0,2.8499999046325684,1.0,412.5,1.0,550.0,20.0,0.0,1.899999976158142,7.320000171661377,6.0,2.9000000953674316,1.7400000095367432,139.0,0.0,225,1,100,45,15,20,2,0,1,1,6,7,2,0,1,0,0,1,0,1,0,0,0
